     1→   480→Task ID: 12-b
     2→   481→Agent: full-stack-developer
     3→   482→Task: Inbox chat view (WhatsApp-style) + SLA escalation tier
     4→   483→
     5→   484→Work Log:
     6→   485→- Membaca worklog (R10, 11-b, 11-d, R11) + kontrak: inbox-view.tsx (877 baris, satu-satunya file yang diubah), api-client (crmApi.addInteraction/templates), crm-types (InteractionDTO/OpportunityDTO/TemplateDTO: name/body/channel/brandId/step), crm-constants (CHANNELS/channelMeta/formatDate/initials), shared.tsx (BrandChip/ChannelIcon/EmptyState/StageBadge — hanya di-import, tidak diubah). Snapshot DB sebelum test: OPP-2025-0001 stage NEW/prob 15/stageUpdatedAt 2026-08-29T16:59:05.288Z, 28 interaksi.
     7→   486→- PART 1 toggle & layout: state view 'list'|'chat' (default Daftar — perilaku list 100% utuh), segmented toggle Daftar (List)/Chat (MessagesSquare) di toolbar setelah switch "Belum dibalas saja" (role=group + aria-pressed + focus ring). Mode Chat: header kartu dinamis (icon/ judul "Percakapan" + deskripsi "N percakapan · M belum dibalas"); group percakapan client-side per opportunityId dari interaksi ter-filter (useMemo, tanpa API baru; pesan tanpa opportunityId dikecualikan, sort asc per thread + desc antar thread berdasarkan pesan terakhir). Kolom kiri w-80 (hidden < lg): ConversationRow — border-left 3px inline style brandColor, contactName + companyName truncate, preview 1 baris (prefix "Anda: " bila pesan terakhir OUT), timestamp formatDate singkat, indikator belum-dibalas (dot emerald + microcopy) bila pesan terakhir IN, chip SLA. Mobile: kolom kiri diganti chip horizontal scrollable (role=tablist/aria-selected, aktif bg-slate-900). Thread panel: header sticky (avatar inisial lingkaran bg-slate-900 text-white, contactName, companyName · BrandChip; kanan: kode OPP clickable + StageBadge dari opportunities state, omit bila tidak ada) + timeline role=log overflow-y-auto + composer. Bubble: IN kiri putih border-slate-200 rounded-2xl rounded-tl-sm; OUT kanan bg-emerald-600 text-white rounded-2xl rounded-tr-sm; subject bold bila ada; body whitespace-pre-wrap; footer timestamp formatDate(iso,true) + chip channel utk non-WHATSAPP (ChannelIcon utk IN; ikon putih manual utk OUT karena ChannelIcon memakai warna meta — kontras buruk di atas emerald) + status icon OUT (READ→CheckCheck, SENT→Check, lainnya→Clock); pemisah tanggal "Hari Ini"/"Kemarin"/formatDate antar hari beda; EmptyState "Pilih percakapan untuk mulai membalas" saat belum memilih; auto-scroll scrollTop=scrollHeight via ref (dep: selectedConvId, jumlah pesan, view).
     8→   487→- PART 2 composer: Textarea rows=1 auto-resize 1–4 baris (efek scrollHeight, max 120px, min-h-[40px]) + Select kanal (WHATSAPP default, EMAIL/INSTAGRAM/PHONE) + tombol "Kirim" bg-emerald-600 hover:bg-emerald-700 (disabled saat kosong/sending, Loader2). Balasan cepat: crmApi.templates() fetch lazy saat mode Chat PERTAMA dibuka (guard templates===null + cancelled flag; gagal/kosong → baris dihilangkan senyap), 6 chip ghost (nama template, title=body) di atas input — klik mengisi textarea, TIDAK auto-send. Kirim: crmApi.addInteraction(opportunityId, {channel, direction:'OUT', body}) → toast success "Pesan terkirim — tercatat di percakapan" + deskripsi penerima/kanal → refresh loadInteractions() (list/SLA/replied sinkron). Ctrl/Cmd+Enter sebagai shortcut kirim.
     9→   488→- TEMUAN PENTING: GET /api/interactions hanya mengembalikan direction IN (60 hari) — append OUT ke state interactions akan DIHAPUS oleh loadInteractions. Solusi: state terpisah sentExtras (InteractionDTO[] hasil kirim) yang DIGABUNG ke memo conversations (deps interactions+sentExtras) — bubble OUT persist setelah refresh, preview row ter-update ("Anda: …"), tanpa duplikat (API tak pernah mengembalikan OUT).
    10→   489→- PART 3 SLA eskalasi: komponen lokal SlaChip dipakai di kartu list & row percakapan — escalated = breach.over > breach.sla (total menunggu > 2×sla dari map slaBreaches existing): chip SOLID bg-rose-600 text-white + Flame size-3 + prefix "ESKALASI +Xj" + title "Melewati {2×sla} jam — eskalasi ke pemberi lead"; tier biasa = markup chip lama persis (bg-rose-50 text-rose-700 "SLA +Xj", title brand+sla).
    11→   490→- Verifikasi: bunx tsc --noEmit (filter skills/examples) → 0 error; bun run lint → exit 0. dev.log: GET /api/interactions, /api/opportunities, /api/templates, POST /api/opportunities/[id]/interactions semua 200.
    12→   491→- BROWSER TEST (agent-browser, session terisolasi t12b, login Dewi Lestari Marketing → Lead Inbox): toggle Daftar/Chat render; Chat → 16 percakapan tergroup (sort pesan terakhir desc), semua fitur row tampil; pilih Hendra Gunawan (OPP-2025-0001, Segia Tech) → header benar (HG avatar slate-900, PT Nusantara Sejahtera · Segia Tech, kode OPP + stage chip "New"), 2 bubble IN kiri putih (chip channel "Website" di bubble pertama), pemisah "Hari Ini" (VLM-verified), Kirim disabled saat kosong; kirim "Baik Pak, kami siap kirim penawaran revisi hari ini." via composer → bubble OUT kanan emerald rounded-tr-sm + status icon, auto-scroll bottom, toast "Pesan terkirim — tercatat di percakapan" (terverifikasi via toast viewport), preview row berubah "Anda: …", flag replied ter-update setelah refresh, stage otomatis NEW→CONNECTED (perilaku backend existing) & chip ESKALASI hilang + StageBadge "Connected" di header (sinkron); 4 kiriman lanjutan: Ctrl+Enter bekerja, quick replies 6 chip dari /api/templates (klik mengisi textarea). Chip ESKALASI terverifikasi computed-style: bg rose-600 solid (lab color), text putih, 1 svg Flame, title "Melewati 8 jam — eskalasi ke pemberi lead"; tier logic tidak crash (over=5 > sla=4 → ESKALASI; catatan: clock demo sudah maju sehingga waiting ~9,4 jam, bukan 8 jam seperti skenario di brief — plain branch +4j tidak muncul krn tak ada lead dengan 0<over≤sla saat ini; markup tier biasa = kode lama yang sudah terverifikasi R10). Mode Daftar setelah semua: list kartu render normal. `agent-browser errors` → kosong. Mobile 390×844: kolom kiri display none, 16 chip horizontal, thread maxH 590.8px (70vh) dgn scroll internal, document.scrollWidth 390 = viewport (tanpa overflow horizontal).
    13→   492→- CLEANUP DATA DEMO (bun -e Prisma one-off): delete 5 Interaction OUT hasil test (body terdaftar) → total interaksi kembali 28; revert OPP-2025-0001 → stage NEW, probability 15, stageUpdatedAt 2026-08-29T16:59:05.288Z (snapshot eksak pra-test); delete 6 AuditLog (5 INTERACTION_CREATE + 1 AUTO_STAGE_CHANGE) sejak test-start; verifikasi UI ulang setelah reload: thread Hendra kembali 2 bubble IN saja, chip ESKALASI +5j muncul lagi di row (stage NEW), header "New".
    14→   493→
    15→   494→Stage Summary:
    16→   495→- Artefak: 1 file diubah — src/components/crm/inbox-view.tsx (+~330 baris: CHAT_CHANNELS, OUT_CHANNEL_ICON, tipe SlaBreach/Conversation, sameDay/dayLabel, komponen SlaChip & ConversationRow, state view/chat/templates/sentExtras, memo conversations+activeConv/activeOpp, 3 efek baru (templates lazy, auto-scroll, auto-resize), handleSendChat, toggle toolbar, branch render mode Chat di CardContent, kartu list memakai SlaChip). TIDAK menyentuh api-client, crm-types, crm-constants, shared, notification-bell, view lain.
